war,ln_war,w_fastball_value,w_slider_value,w_curve_value,w_changeup_value,w_spliter_value,w_sinker_value,z_fastball_value,z_slider_value,z_curve_value,z_changeup_value,z_spliter_value,z_sinker_value
2.08,0.732367894,-9.4248,1.5246,0.2432,-0.328,0.0259,0.0101,-2.6029268,1.001539195,0.695925938,-0.896543632,-0.040030653,-0.405475092
1.96,0.672944473,-1.411,0.1295,-0.6608,0.4917,-0.08,-0.1593,-0.733128873,0.054491718,-2.423889626,1.113754961,-0.608904267,-1.224450658
2.59,0.951657876,2.1504,-0.8917,0.2848,0.069,-0.0472,0.1504,0.097825024,-0.638738075,0.839492672,0.077091285,-0.432709229,0.272814588
3.35,1.208960346,-2.8152,1.2672,0.1827,0.3366,-0.0198,-0.3192,-1.06075999,0.826806186,0.487132972,0.733375173,-0.28552191,-1.997497841
3.04,1.111857515,-0.5512,-0.473,0.2697,0.6966,0.0858,0.2196,-0.532518394,-0.35450843,0.787380709,1.616268297,0.281740163,0.607366589
1.96,0.672944473,6.952,-1.6492,0.1183,0.2052,-0.3116,-0.063,1.218145187,-1.152958177,0.264880624,0.411119183,-1.853013132,-0.758881904
0.84,-0.174353387,-4.3362,0.9082,-0.1584,-0.45,-0.152,0.0075,-1.415643148,0.583103194,-0.690045224,-1.195746302,-0.995673862,-0.418044965
1.66,0.506817602,-0.2485,-0.0819,-0.0122,0.5406,-0.096,-0.0711,-0.461891745,-0.089014724,-0.185490981,1.233681277,-0.694853066,-0.798041892
3.18,1.156881197,3.1746,-0.896,0.0846,-0.2068,0.1428,0.1536,0.336793683,-0.641657081,0.148577765,-0.599302947,0.58793276,0.2882852
1.01,0.009950331,-3.8335,-0.2639,-0.0704,-0.1708,-0.209,0.1539,-1.298352047,-0.212563316,-0.386346364,-0.511013635,-1.301866459,0.28973557
1.88,0.631271777,2.7468,-0.0916,-0.5472,0.21,0.0871,-0.0852,0.23697842,-0.095599457,-2.031842006,0.422891091,0.288723503,-0.86620928
