"","war","hits_game","doubles_game","triples_game","homeruns_game","basehits_game","rbi_game","stolen_game","caught_game","bb_game","hp_game","ln_war","ln_hits_game","ln_doubles_game","ln_triples_game","ln_homeruns_game","ln_basehits_game","ln_rbi_game","ln_stolen_game","ln_caught_game","ln_bb_game","ln_hp_game"
"37",4.13,1.076335878,0.221374046,0.038167939,0.076335878,1.603053435,0.549618321,0.06870229,0.06870229,0.442748092,0.015267176,1.418277407,0.073562567,-1.507901493,-3.265759411,-2.57261223,0.471910208,-0.598531204,-2.677972746,-2.677972746,-0.814754313,-4.182050143
"38",3.04,0.836065574,0.196721311,0.032786885,0.155737705,1.56557377,0.532786885,0,0.008196721,0.450819672,0.024590164,1.111857515,-0.179048231,-1.625967214,-3.417726684,-1.859582066,0.448252383,-0.629633775,0,-4.804021045,-0.79668786,-3.705408756
"39",4.39,1.335714286,0.257142857,0.021428571,0.035714286,1.742857143,0.464285714,0.1,0.021428571,0.357142857,0.014285714,1.479329227,0.289466194,-1.358123484,-3.843030134,-3.33220451,0.555525803,-0.767255153,-2.302585093,-3.843030134,-1.029619417,-4.248495242
"40",4.12,1.254098361,0.237704918,0,0.098360656,1.786885246,0.62295082,0.098360656,0.06557377,0.319672131,0.073770492,1.415853163,0.226416877,-1.436725215,0,-2.319114395,0.580474018,-0.473287704,-2.319114395,-2.724579503,-1.140459399,-2.606796467
"41",3.6,1.115942029,0.152173913,0.02173913,0.123188406,1.68115942,0.557971014,0.065217391,0.014492754,0.376811594,0.050724638,1.280933845,0.109698917,-1.882731247,-3.828641396,-2.094040341,0.519483687,-0.583448263,-2.730029108,-4.234106505,-0.976009967,-2.981343536
"42",6.19,1.357664234,0.211678832,0.04379562,0.051094891,1.810218978,0.416058394,0.182481752,0.02189781,0.416058394,0.02189781,1.822935087,0.305765748,-1.552685096,-3.128221457,-2.974070777,0.59344782,-0.876929658,-1.701105101,-3.821368637,-0.876929658,-3.821368637
"43",4.25,1.123076923,0.261538462,0.015384615,0.092307692,1.692307692,0.653846154,0.053846154,0.038461538,0.430769231,0.069230769,1.446918983,0.116072171,-1.341173926,-4.17438727,-2.382627801,0.526093096,-0.424883194,-2.921624301,-3.258096538,-0.84218276,-2.670309873
"44",5.4,1.03875969,0.178294574,0,0.131782946,1.612403101,0.527131783,0.062015504,0,0.441860465,0.085271318,1.686398954,0.038027396,-1.724318188,0,-2.02659906,0.477725675,-0.640304699,-2.780370863,0,-0.816761137,-2.461917132
"45",5.17,1.234042553,0.24822695,0.014184397,0.007092199,1.531914894,0.460992908,0.163120567,0.163120567,0.624113475,0.156028369,1.642872689,0.210295409,-1.393411829,-4.25561271,-4.94875989,0.426518517,-0.77437262,-1.813265674,-1.813265674,-0.471423076,-1.857717437
"46",4.78,1.277310924,0.31092437,0.008403361,0.092436975,1.882352941,0.596638655,0.100840336,0.033613445,0.445378151,0.033613445,1.564440547,0.244757028,-1.16820558,-4.779123493,-2.38122822,0.632522559,-0.516443616,-2.294216843,-3.392829132,-0.80883158,-3.392829132
"47",3.68,1.074380165,0.223140496,0.008264463,0.140495868,1.73553719,0.669421488,0,0,0.537190083,0.066115702,1.302912752,0.071743905,-1.49995368,-4.795790546,-1.962577202,0.551316985,-0.401341391,0,0,-0.621403276,-2.716349004
"48",5.22,1.172661871,0.208633094,0.028776978,0.165467626,1.935251799,0.683453237,0.050359712,0.021582734,0.381294964,0.021582734,1.652497402,0.159276268,-1.567178103,-3.548179572,-1.798979717,0.660237446,-0.380597042,-2.988563784,-3.835861644,-0.96418202,-3.835861644
"49",5.78,1.09375,0.2421875,0,0.2265625,2.015625,0.6796875,0.0546875,0.0234375,0.4609375,0.1171875,1.754403683,0.089612159,-1.418043059,0,-1.484734434,0.700929321,-0.386122145,-2.906120115,-3.753417975,-0.77449282,-2.143980063
"50",6.93,1.167938931,0.229007634,0.007633588,0.236641221,2.122137405,0.770992366,0.015267176,0.007633588,0.564885496,0.030534351,1.935859813,0.155240598,-1.473999942,-4.875197323,-1.441210119,0.75242379,-0.260076806,-4.182050143,-4.875197323,-0.57113223,-3.488902962
